dw_nominate,member_id,vote_position,roll_call
,A000360,Yes,73
,B001230,No,73
,B001261,Yes,73
,B001267,Yes,73
,B001277,No,73
,B000575,Yes,73
,B001288,No,73
,B001236,Yes,73
,B000944,Yes,73
,B001135,Yes,73
,C000127,No,73
,C001047,Yes,73
,C000141,No,73
,C000174,Yes,73
,C001070,Yes,73
,C001075,Yes,73
,C000567,Yes,73
,C001035,Yes,73
,C001088,Yes,73
,C001071,Yes,73
,C001056,Yes,73
,C001113,Yes,73
,C001095,Yes,73
,C000880,Yes,73
,C001098,Yes,73
,D000618,Yes,73
,D000607,Yes,73
,D000622,Yes,73
,D000563,No,73
,E000285,Yes,73
,E000295,Yes,73
,F000062,Yes,73
,F000463,Yes,73
,F000444,Yes,73
,F000457,No,73
,G000562,Yes,73
,G000555,No,73
,G000359,Yes,73
,G000386,Yes,73
,H001075,No,73
,H001076,Yes,73
,H000338,Yes,73
,H001046,No,73
,H001069,Yes,73
,H001041,Yes,73
,H001042,No,73
,H001061,Yes,73
,I000024,Yes,73
,I000055,Not Voting,73
,J000293,Yes,73
,K000384,Yes,73
,K000393,Yes,73
,K000383,Yes,73
,K000367,Yes,73
,L000575,Yes,73
,L000174,No,73
,L000577,Yes,73
,M001183,No,73
,M000133,No,73
,M000303,Yes,73
,M001170,Yes,73
,M000355,Yes,73
,M000639,No,73
,M001176,No,73
,M000934,Yes,73
,M001153,Yes,73
,M001169,No,73
,M001111,No,73
,N000032,Yes,73
,P000603,Yes,73
,P000612,Yes,73
,P000595,Yes,73
,P000449,Yes,73
,R000122,No,73
,R000584,Yes,73
,R000307,Yes,73
,R000605,Yes,73
,R000595,Yes,73
,S000033,No,73
,S001197,Yes,73
,S001194,Yes,73
,S000148,No,73
,S001184,Yes,73
,S001181,Yes,73
,S000320,Yes,73
,S000770,No,73
,S001202,Yes,73
,S001198,Yes,73
,T000464,Yes,73
,T000250,Yes,73
,T000476,Yes,73
,T000461,Yes,73
,U000039,No,73
,V000128,No,73
,W000805,Yes,73
,W000817,No,73
,W000802,No,73
,W000437,Yes,73
,W000779,No,73
,Y000064,Yes,73
