dw_nominate,member_id,vote_position,roll_call
,A000360,Yes,77
,B001230,No,77
,B001261,Yes,77
,B001267,No,77
,B001277,No,77
,B000575,Yes,77
,B001288,No,77
,B001236,Yes,77
,B000944,Yes,77
,B001135,Yes,77
,C000127,No,77
,C001047,Yes,77
,C000141,No,77
,C000174,No,77
,C001070,No,77
,C001075,Yes,77
,C000567,Yes,77
,C001035,Yes,77
,C001088,No,77
,C001071,Yes,77
,C001056,Yes,77
,C001113,No,77
,C001095,Yes,77
,C000880,Yes,77
,C001098,Yes,77
,D000618,Yes,77
,D000607,Yes,77
,D000622,No,77
,D000563,No,77
,E000285,Yes,77
,E000295,Yes,77
,F000062,No,77
,F000463,Yes,77
,F000444,Yes,77
,F000457,No,77
,G000562,Yes,77
,G000555,No,77
,G000359,Yes,77
,G000386,Yes,77
,H001075,No,77
,H001076,No,77
,H000338,Yes,77
,H001046,No,77
,H001069,Yes,77
,H001041,Yes,77
,H001042,No,77
,H001061,Yes,77
,I000024,Yes,77
,I000055,Not Voting,77
,J000293,Yes,77
,K000384,No,77
,K000393,Yes,77
,K000383,Yes,77
,K000367,No,77
,L000575,Yes,77
,L000174,No,77
,L000577,Yes,77
,M001183,Yes,77
,M000133,No,77
,M000303,Yes,77
,M001170,No,77
,M000355,Yes,77
,M000639,No,77
,M001176,No,77
,M000934,Yes,77
,M001153,Yes,77
,M001169,No,77
,M001111,No,77
,N000032,No,77
,P000603,Yes,77
,P000612,Yes,77
,P000595,No,77
,P000449,Yes,77
,R000122,No,77
,R000584,Yes,77
,R000307,Yes,77
,R000605,Yes,77
,R000595,Yes,77
,S000033,No,77
,S001197,Yes,77
,S001194,No,77
,S000148,No,77
,S001184,Yes,77
,S001181,No,77
,S000320,Yes,77
,S000770,No,77
,S001202,Yes,77
,S001198,Yes,77
,T000464,Yes,77
,T000250,Yes,77
,T000476,Yes,77
,T000461,Yes,77
,U000039,No,77
,V000128,No,77
,W000805,Yes,77
,W000817,No,77
,W000802,No,77
,W000437,Yes,77
,W000779,No,77
,Y000064,Yes,77
