dw_nominate,member_id,vote_position,roll_call
,A000360,Not Voting,90
,B001230,Yes,90
,B001261,Not Voting,90
,B001267,Yes,90
,B001277,Yes,90
,B000575,Yes,90
,B001288,No,90
,B001236,Yes,90
,B000944,Yes,90
,B001135,Yes,90
,C000127,Yes,90
,C001047,Yes,90
,C000141,Yes,90
,C000174,Yes,90
,C001070,Yes,90
,C001075,Yes,90
,C000567,Yes,90
,C001035,Yes,90
,C001088,Yes,90
,C001071,Not Voting,90
,C001056,Yes,90
,C001113,Yes,90
,C001095,Yes,90
,C000880,Yes,90
,C001098,Yes,90
,D000618,Yes,90
,D000607,Yes,90
,D000622,Yes,90
,D000563,Yes,90
,E000285,Yes,90
,E000295,Yes,90
,F000062,Yes,90
,F000463,Yes,90
,F000444,Yes,90
,F000457,Yes,90
,G000562,Yes,90
,G000555,No,90
,G000359,Yes,90
,G000386,Yes,90
,H001075,No,90
,H001076,Yes,90
,H000338,Yes,90
,H001046,Yes,90
,H001069,Yes,90
,H001041,Yes,90
,H001042,No,90
,H001061,Yes,90
,I000024,Yes,90
,I000055,Not Voting,90
,J000293,Yes,90
,K000384,Yes,90
,K000393,Yes,90
,K000383,Yes,90
,K000367,Yes,90
,L000575,Yes,90
,L000174,Yes,90
,L000577,Yes,90
,M001183,Yes,90
,M000133,No,90
,M000303,Yes,90
,M001170,No,90
,M000355,Yes,90
,M000639,Yes,90
,M001176,No,90
,M000934,Yes,90
,M001153,Yes,90
,M001169,Yes,90
,M001111,Yes,90
,N000032,Yes,90
,P000603,Yes,90
,P000612,Yes,90
,P000595,Yes,90
,P000449,Yes,90
,R000122,Yes,90
,R000584,Yes,90
,R000307,Yes,90
,R000605,Yes,90
,R000595,Yes,90
,S000033,No,90
,S001197,Yes,90
,S001194,Yes,90
,S000148,No,90
,S001184,Yes,90
,S001181,Yes,90
,S000320,Yes,90
,S000770,Yes,90
,S001202,Yes,90
,S001198,Yes,90
,T000464,Yes,90
,T000250,Yes,90
,T000476,Yes,90
,T000461,Yes,90
,U000039,Yes,90
,V000128,Yes,90
,W000805,Yes,90
,W000817,No,90
,W000802,Yes,90
,W000437,Yes,90
,W000779,Yes,90
,Y000064,Yes,90
