dw_nominate,member_id,vote_position,roll_call
,A000360,Yes,33
,B001230,Yes,33
,B001261,Yes,33
,B001267,Yes,33
,B001277,Yes,33
,B000575,Yes,33
,B001288,Yes,33
,B001236,Yes,33
,B000944,Yes,33
,B001135,Yes,33
,C000127,Yes,33
,C001047,Yes,33
,C000141,Yes,33
,C000174,Yes,33
,C001070,Yes,33
,C001075,Yes,33
,C000567,Yes,33
,C001035,Yes,33
,C001088,No,33
,C001071,Yes,33
,C001056,Yes,33
,C001113,Yes,33
,C001095,Yes,33
,C000880,Yes,33
,C001098,Yes,33
,D000618,Yes,33
,D000607,Yes,33
,D000622,Yes,33
,D000563,Yes,33
,E000285,Yes,33
,E000295,Yes,33
,F000062,Yes,33
,F000463,Yes,33
,F000444,Yes,33
,F000457,Yes,33
,G000562,Yes,33
,G000555,Yes,33
,G000359,Yes,33
,G000386,Yes,33
,H001075,Yes,33
,H001076,Yes,33
,H000338,Yes,33
,H001046,No,33
,H001069,Yes,33
,H001041,Yes,33
,H001042,Yes,33
,H001061,Yes,33
,I000024,Yes,33
,I000055,Yes,33
,J000293,Yes,33
,K000384,Yes,33
,K000393,Yes,33
,K000383,Yes,33
,K000367,Yes,33
,L000575,Yes,33
,L000174,Yes,33
,L000577,Yes,33
,M001183,Yes,33
,M000133,Yes,33
,M000303,Yes,33
,M001170,Yes,33
,M000355,Yes,33
,M000639,Yes,33
,M001176,Yes,33
,M000934,Yes,33
,M001153,Yes,33
,M001169,Yes,33
,M001111,Yes,33
,N000032,Yes,33
,P000603,Yes,33
,P000612,Yes,33
,P000595,Yes,33
,P000449,Yes,33
,R000122,Yes,33
,R000584,Yes,33
,R000307,Yes,33
,R000605,Yes,33
,R000595,Yes,33
,S000033,No,33
,S001197,Yes,33
,S001194,Yes,33
,S000148,Yes,33
,S001184,Yes,33
,S001141,Yes,33
,S001181,Yes,33
,S000320,Yes,33
,S000770,Yes,33
,S001198,Yes,33
,T000464,Yes,33
,T000250,Yes,33
,T000476,Yes,33
,T000461,Yes,33
,U000039,No,33
,V000128,Yes,33
,W000805,Yes,33
,W000817,Yes,33
,W000802,Yes,33
,W000437,Yes,33
,W000779,Yes,33
,Y000064,Yes,33
