dw_nominate,member_id,vote_position,roll_call
,A000360,Yes,59
,B001230,No,59
,B001261,Yes,59
,B001267,No,59
,B001277,No,59
,B000575,Yes,59
,B001288,No,59
,B001236,Yes,59
,B000944,No,59
,B001135,Yes,59
,C000127,No,59
,C001047,Yes,59
,C000141,No,59
,C000174,No,59
,C001070,No,59
,C001075,Yes,59
,C000567,Yes,59
,C001035,Yes,59
,C001088,No,59
,C001071,Yes,59
,C001056,Yes,59
,C001113,No,59
,C001095,Yes,59
,C000880,Yes,59
,C001098,Yes,59
,D000618,Yes,59
,D000607,No,59
,D000622,No,59
,D000563,No,59
,E000285,Yes,59
,E000295,Yes,59
,F000062,No,59
,F000463,Yes,59
,F000444,Yes,59
,F000457,No,59
,G000562,Yes,59
,G000555,No,59
,G000359,Yes,59
,G000386,Yes,59
,H001075,No,59
,H001076,No,59
,H000338,Yes,59
,H001046,No,59
,H001069,No,59
,H001041,Yes,59
,H001042,No,59
,H001061,Yes,59
,I000024,Yes,59
,I000055,Yes,59
,J000293,Yes,59
,K000384,No,59
,K000393,Yes,59
,K000383,No,59
,K000367,No,59
,L000575,Yes,59
,L000174,No,59
,L000577,Yes,59
,M001183,Yes,59
,M000133,No,59
,M000303,Yes,59
,M001170,No,59
,M000355,Yes,59
,M000639,No,59
,M001176,No,59
,M000934,Yes,59
,M001153,Yes,59
,M001169,No,59
,M001111,No,59
,N000032,No,59
,P000603,Yes,59
,P000612,Yes,59
,P000595,No,59
,P000449,Yes,59
,R000122,No,59
,R000584,Yes,59
,R000307,Yes,59
,R000605,Yes,59
,R000595,Yes,59
,S000033,No,59
,S001197,Yes,59
,S001194,No,59
,S000148,No,59
,S001184,Yes,59
,S001141,Present,59
,S001181,No,59
,S000320,Yes,59
,S000770,No,59
,S001198,Yes,59
,T000464,No,59
,T000250,Yes,59
,T000476,Yes,59
,T000461,Yes,59
,U000039,No,59
,V000128,No,59
,W000805,No,59
,W000817,No,59
,W000802,No,59
,W000437,Yes,59
,W000779,No,59
,Y000064,Yes,59
