dw_nominate,member_id,vote_position,roll_call
,A000360,Yes,86
,B001230,No,86
,B001261,Yes,86
,B001267,No,86
,B001277,No,86
,B000575,Yes,86
,B001288,No,86
,B001236,Yes,86
,B000944,No,86
,B001135,Yes,86
,C000127,No,86
,C001047,Yes,86
,C000141,No,86
,C000174,No,86
,C001070,No,86
,C001075,Yes,86
,C000567,Yes,86
,C001035,Yes,86
,C001088,No,86
,C001071,Yes,86
,C001056,Yes,86
,C001113,No,86
,C001095,Yes,86
,C000880,Yes,86
,C001098,Yes,86
,D000618,Yes,86
,D000607,Yes,86
,D000622,No,86
,D000563,No,86
,E000285,Yes,86
,E000295,Yes,86
,F000062,No,86
,F000463,Yes,86
,F000444,Yes,86
,F000457,No,86
,G000562,Yes,86
,G000555,No,86
,G000359,Yes,86
,G000386,Yes,86
,H001075,No,86
,H001076,No,86
,H000338,Yes,86
,H001046,No,86
,H001069,Yes,86
,H001041,Yes,86
,H001042,No,86
,H001061,Yes,86
,I000024,Yes,86
,I000055,Not Voting,86
,J000293,Yes,86
,K000384,No,86
,K000393,Yes,86
,K000383,Yes,86
,K000367,No,86
,L000575,Yes,86
,L000174,No,86
,L000577,Yes,86
,M001183,Yes,86
,M000133,No,86
,M000303,Yes,86
,M001170,No,86
,M000355,Yes,86
,M000639,No,86
,M001176,No,86
,M000934,Yes,86
,M001153,Yes,86
,M001169,No,86
,M001111,No,86
,N000032,No,86
,P000603,Yes,86
,P000612,Yes,86
,P000595,Not Voting,86
,P000449,Yes,86
,R000122,No,86
,R000584,Yes,86
,R000307,Yes,86
,R000605,Yes,86
,R000595,Yes,86
,S000033,No,86
,S001197,Yes,86
,S001194,No,86
,S000148,No,86
,S001184,Yes,86
,S001181,No,86
,S000320,Yes,86
,S000770,No,86
,S001202,Yes,86
,S001198,Yes,86
,T000464,No,86
,T000250,Yes,86
,T000476,Yes,86
,T000461,Yes,86
,U000039,No,86
,V000128,No,86
,W000805,No,86
,W000817,No,86
,W000802,No,86
,W000437,Yes,86
,W000779,No,86
,Y000064,Yes,86
