dw_nominate,member_id,vote_position,roll_call
,A000360,Yes,79
,B001230,No,79
,B001261,Yes,79
,B001267,No,79
,B001277,No,79
,B000575,Yes,79
,B001288,No,79
,B001236,Yes,79
,B000944,No,79
,B001135,Yes,79
,C000127,No,79
,C001047,Yes,79
,C000141,No,79
,C000174,Yes,79
,C001070,No,79
,C001075,Yes,79
,C000567,Yes,79
,C001035,Yes,79
,C001088,No,79
,C001071,Yes,79
,C001056,Yes,79
,C001113,Yes,79
,C001095,Yes,79
,C000880,Yes,79
,C001098,Yes,79
,D000618,Yes,79
,D000607,Yes,79
,D000622,No,79
,D000563,No,79
,E000285,Yes,79
,E000295,Yes,79
,F000062,No,79
,F000463,Yes,79
,F000444,Yes,79
,F000457,No,79
,G000562,Yes,79
,G000555,No,79
,G000359,Yes,79
,G000386,Yes,79
,H001075,No,79
,H001076,No,79
,H000338,Yes,79
,H001046,No,79
,H001069,Yes,79
,H001041,Yes,79
,H001042,No,79
,H001061,Yes,79
,I000024,Yes,79
,I000055,Not Voting,79
,J000293,Yes,79
,K000384,No,79
,K000393,Yes,79
,K000383,Yes,79
,K000367,No,79
,L000575,Yes,79
,L000174,No,79
,L000577,Yes,79
,M001183,Yes,79
,M000133,No,79
,M000303,Yes,79
,M001170,Yes,79
,M000355,Yes,79
,M000639,No,79
,M001176,No,79
,M000934,Yes,79
,M001153,Yes,79
,M001169,No,79
,M001111,No,79
,N000032,No,79
,P000603,Yes,79
,P000612,Yes,79
,P000595,No,79
,P000449,Yes,79
,R000122,No,79
,R000584,Yes,79
,R000307,Yes,79
,R000605,Yes,79
,R000595,Yes,79
,S000033,No,79
,S001197,Yes,79
,S001194,No,79
,S000148,No,79
,S001184,Yes,79
,S001181,No,79
,S000320,Yes,79
,S000770,Yes,79
,S001202,Yes,79
,S001198,Yes,79
,T000464,Yes,79
,T000250,Yes,79
,T000476,Yes,79
,T000461,Yes,79
,U000039,Yes,79
,V000128,No,79
,W000805,Yes,79
,W000817,No,79
,W000802,No,79
,W000437,Yes,79
,W000779,No,79
,Y000064,Yes,79
