dw_nominate,member_id,vote_position,roll_call
,A000360,Yes,54
,B001230,No,54
,B001261,Yes,54
,B001267,No,54
,B001277,No,54
,B000575,Yes,54
,B001288,No,54
,B001236,Yes,54
,B000944,No,54
,B001135,Yes,54
,C000127,No,54
,C001047,Yes,54
,C000141,No,54
,C000174,No,54
,C001070,No,54
,C001075,Yes,54
,C000567,Yes,54
,C001035,No,54
,C001088,No,54
,C001071,Yes,54
,C001056,Yes,54
,C001113,No,54
,C001095,Yes,54
,C000880,Yes,54
,C001098,Yes,54
,D000618,Yes,54
,D000607,No,54
,D000622,No,54
,D000563,No,54
,E000285,Yes,54
,E000295,Yes,54
,F000062,No,54
,F000463,Yes,54
,F000444,Yes,54
,F000457,No,54
,G000562,Yes,54
,G000555,No,54
,G000359,Yes,54
,G000386,Yes,54
,H001075,No,54
,H001076,No,54
,H000338,Yes,54
,H001046,No,54
,H001069,No,54
,H001041,Yes,54
,H001042,No,54
,H001061,Yes,54
,I000024,Yes,54
,I000055,Yes,54
,J000293,Yes,54
,K000384,No,54
,K000393,Yes,54
,K000383,No,54
,K000367,No,54
,L000575,Yes,54
,L000174,No,54
,L000577,Yes,54
,M001183,No,54
,M000133,No,54
,M000303,Yes,54
,M001170,No,54
,M000355,Yes,54
,M000639,No,54
,M001176,No,54
,M000934,Yes,54
,M001153,No,54
,M001169,No,54
,M001111,No,54
,N000032,No,54
,P000603,Yes,54
,P000612,Yes,54
,P000595,No,54
,P000449,Yes,54
,R000122,No,54
,R000584,Yes,54
,R000307,Yes,54
,R000605,Yes,54
,R000595,Yes,54
,S000033,No,54
,S001197,Yes,54
,S001194,No,54
,S000148,No,54
,S001184,Yes,54
,S001141,Yes,54
,S001181,No,54
,S000320,Yes,54
,S000770,No,54
,S001198,Yes,54
,T000464,No,54
,T000250,Yes,54
,T000476,Yes,54
,T000461,Yes,54
,U000039,No,54
,V000128,No,54
,W000805,No,54
,W000817,No,54
,W000802,No,54
,W000437,Yes,54
,W000779,No,54
,Y000064,Yes,54
