,dw_nominate,member_id,vote_position,roll_call
0,,A000360,Yes,59
1,,B001230,No,59
2,,B001261,Yes,59
3,,B001267,No,59
4,,B001277,No,59
5,,B000575,Yes,59
6,,B001288,No,59
7,,B001236,Yes,59
8,,B000944,No,59
9,,B001135,Yes,59
10,,C000127,No,59
11,,C001047,Yes,59
12,,C000141,No,59
13,,C000174,No,59
14,,C001070,No,59
15,,C001075,Yes,59
16,,C000567,Yes,59
17,,C001035,Yes,59
18,,C001088,No,59
19,,C001071,Yes,59
20,,C001056,Yes,59
21,,C001113,No,59
22,,C001095,Yes,59
23,,C000880,Yes,59
24,,C001098,Yes,59
25,,D000618,Yes,59
26,,D000607,No,59
27,,D000622,No,59
28,,D000563,No,59
29,,E000285,Yes,59
30,,E000295,Yes,59
31,,F000062,No,59
32,,F000463,Yes,59
33,,F000444,Yes,59
34,,F000457,No,59
35,,G000562,Yes,59
36,,G000555,No,59
37,,G000359,Yes,59
38,,G000386,Yes,59
39,,H001075,No,59
40,,H001076,No,59
41,,H000338,Yes,59
42,,H001046,No,59
43,,H001069,No,59
44,,H001041,Yes,59
45,,H001042,No,59
46,,H001061,Yes,59
47,,I000024,Yes,59
48,,I000055,Yes,59
49,,J000293,Yes,59
50,,K000384,No,59
51,,K000393,Yes,59
52,,K000383,No,59
53,,K000367,No,59
54,,L000575,Yes,59
55,,L000174,No,59
56,,L000577,Yes,59
57,,M001183,Yes,59
58,,M000133,No,59
59,,M000303,Yes,59
60,,M001170,No,59
61,,M000355,Yes,59
62,,M000639,No,59
63,,M001176,No,59
64,,M000934,Yes,59
65,,M001153,Yes,59
66,,M001169,No,59
67,,M001111,No,59
68,,N000032,No,59
69,,P000603,Yes,59
70,,P000612,Yes,59
71,,P000595,No,59
72,,P000449,Yes,59
73,,R000122,No,59
74,,R000584,Yes,59
75,,R000307,Yes,59
76,,R000605,Yes,59
77,,R000595,Yes,59
78,,S000033,No,59
79,,S001197,Yes,59
80,,S001194,No,59
81,,S000148,No,59
82,,S001184,Yes,59
83,,S001141,Present,59
84,,S001181,No,59
85,,S000320,Yes,59
86,,S000770,No,59
87,,S001198,Yes,59
88,,T000464,No,59
89,,T000250,Yes,59
90,,T000476,Yes,59
91,,T000461,Yes,59
92,,U000039,No,59
93,,V000128,No,59
94,,W000805,No,59
95,,W000817,No,59
96,,W000802,No,59
97,,W000437,Yes,59
98,,W000779,No,59
99,,Y000064,Yes,59
