dw_nominate,member_id,vote_position,roll_call
,A000360,Yes,64
,B001230,Yes,64
,B001261,Yes,64
,B001267,Yes,64
,B001277,Yes,64
,B000575,Yes,64
,B001288,Yes,64
,B001236,Yes,64
,B000944,Yes,64
,B001135,Yes,64
,C000127,Yes,64
,C001047,Yes,64
,C000141,Yes,64
,C000174,Yes,64
,C001070,Yes,64
,C001075,Yes,64
,C000567,Yes,64
,C001035,Yes,64
,C001088,Yes,64
,C001071,Yes,64
,C001056,Yes,64
,C001113,Yes,64
,C001095,Yes,64
,C000880,Yes,64
,C001098,Yes,64
,D000618,Yes,64
,D000607,Yes,64
,D000622,Yes,64
,D000563,Yes,64
,E000285,Yes,64
,E000295,Yes,64
,F000062,Yes,64
,F000463,Yes,64
,F000444,Yes,64
,F000457,Yes,64
,G000562,Yes,64
,G000555,Yes,64
,G000359,Yes,64
,G000386,Yes,64
,H001075,Yes,64
,H001076,Yes,64
,H000338,Yes,64
,H001046,Yes,64
,H001069,Yes,64
,H001041,Yes,64
,H001042,Yes,64
,H001061,Yes,64
,I000024,Yes,64
,I000055,Yes,64
,J000293,Yes,64
,K000384,Yes,64
,K000393,Yes,64
,K000383,Yes,64
,K000367,Yes,64
,L000575,Yes,64
,L000174,Yes,64
,L000577,Yes,64
,M001183,Yes,64
,M000133,Yes,64
,M000303,Yes,64
,M001170,Yes,64
,M000355,Yes,64
,M000639,Yes,64
,M001176,Yes,64
,M000934,Yes,64
,M001153,Yes,64
,M001169,Yes,64
,M001111,Yes,64
,N000032,Yes,64
,P000603,Yes,64
,P000612,Yes,64
,P000595,Yes,64
,P000449,Yes,64
,R000122,Yes,64
,R000584,Yes,64
,R000307,Yes,64
,R000605,Yes,64
,R000595,Yes,64
,S000033,Yes,64
,S001197,Yes,64
,S001194,Yes,64
,S000148,Yes,64
,S001184,Yes,64
,S001181,Yes,64
,S000320,Yes,64
,S000770,Yes,64
,S001202,Yes,64
,S001198,Yes,64
,T000464,Yes,64
,T000250,Yes,64
,T000476,Yes,64
,T000461,Yes,64
,U000039,Yes,64
,V000128,Yes,64
,W000805,Yes,64
,W000817,Yes,64
,W000802,Yes,64
,W000437,Yes,64
,W000779,Yes,64
,Y000064,Yes,64
