dw_nominate,member_id,vote_position,roll_call
,A000360,Yes,36
,B001230,No,36
,B001261,Yes,36
,B001267,No,36
,B001277,No,36
,B000575,Yes,36
,B001288,No,36
,B001236,Yes,36
,B000944,No,36
,B001135,Yes,36
,C000127,No,36
,C001047,Yes,36
,C000141,No,36
,C000174,No,36
,C001070,No,36
,C001075,Yes,36
,C000567,Yes,36
,C001035,Yes,36
,C001088,Not Voting,36
,C001071,Yes,36
,C001056,Yes,36
,C001113,No,36
,C001095,Yes,36
,C000880,Yes,36
,C001098,Yes,36
,D000618,Yes,36
,D000607,No,36
,D000622,No,36
,D000563,No,36
,E000285,Yes,36
,E000295,Yes,36
,F000062,No,36
,F000463,Yes,36
,F000444,Yes,36
,F000457,No,36
,G000562,Yes,36
,G000555,No,36
,G000359,Yes,36
,G000386,Yes,36
,H001075,No,36
,H001076,No,36
,H000338,Yes,36
,H001046,No,36
,H001069,Yes,36
,H001041,Yes,36
,H001042,No,36
,H001061,Yes,36
,I000024,Yes,36
,I000055,Yes,36
,J000293,Yes,36
,K000384,No,36
,K000393,Yes,36
,K000383,Yes,36
,K000367,No,36
,L000575,Yes,36
,L000174,No,36
,L000577,Yes,36
,M001183,Yes,36
,M000133,No,36
,M000303,Yes,36
,M001170,No,36
,M000355,Yes,36
,M000639,No,36
,M001176,No,36
,M000934,Yes,36
,M001153,Yes,36
,M001169,No,36
,M001111,No,36
,N000032,No,36
,P000603,Yes,36
,P000612,Yes,36
,P000595,No,36
,P000449,Yes,36
,R000122,No,36
,R000584,Yes,36
,R000307,Yes,36
,R000605,Yes,36
,R000595,Yes,36
,S000033,No,36
,S001197,Yes,36
,S001194,No,36
,S000148,No,36
,S001184,Yes,36
,S001141,Yes,36
,S001181,No,36
,S000320,Yes,36
,S000770,No,36
,S001198,Yes,36
,T000464,No,36
,T000250,Yes,36
,T000476,Yes,36
,T000461,Yes,36
,U000039,No,36
,V000128,No,36
,W000805,Yes,36
,W000817,No,36
,W000802,No,36
,W000437,Yes,36
,W000779,No,36
,Y000064,Yes,36
