,dw_nominate,member_id,vote_position,roll_call
0,,A000360,Yes,33
1,,B001230,Yes,33
2,,B001261,Yes,33
3,,B001267,Yes,33
4,,B001277,Yes,33
5,,B000575,Yes,33
6,,B001288,Yes,33
7,,B001236,Yes,33
8,,B000944,Yes,33
9,,B001135,Yes,33
10,,C000127,Yes,33
11,,C001047,Yes,33
12,,C000141,Yes,33
13,,C000174,Yes,33
14,,C001070,Yes,33
15,,C001075,Yes,33
16,,C000567,Yes,33
17,,C001035,Yes,33
18,,C001088,No,33
19,,C001071,Yes,33
20,,C001056,Yes,33
21,,C001113,Yes,33
22,,C001095,Yes,33
23,,C000880,Yes,33
24,,C001098,Yes,33
25,,D000618,Yes,33
26,,D000607,Yes,33
27,,D000622,Yes,33
28,,D000563,Yes,33
29,,E000285,Yes,33
30,,E000295,Yes,33
31,,F000062,Yes,33
32,,F000463,Yes,33
33,,F000444,Yes,33
34,,F000457,Yes,33
35,,G000562,Yes,33
36,,G000555,Yes,33
37,,G000359,Yes,33
38,,G000386,Yes,33
39,,H001075,Yes,33
40,,H001076,Yes,33
41,,H000338,Yes,33
42,,H001046,No,33
43,,H001069,Yes,33
44,,H001041,Yes,33
45,,H001042,Yes,33
46,,H001061,Yes,33
47,,I000024,Yes,33
48,,I000055,Yes,33
49,,J000293,Yes,33
50,,K000384,Yes,33
51,,K000393,Yes,33
52,,K000383,Yes,33
53,,K000367,Yes,33
54,,L000575,Yes,33
55,,L000174,Yes,33
56,,L000577,Yes,33
57,,M001183,Yes,33
58,,M000133,Yes,33
59,,M000303,Yes,33
60,,M001170,Yes,33
61,,M000355,Yes,33
62,,M000639,Yes,33
63,,M001176,Yes,33
64,,M000934,Yes,33
65,,M001153,Yes,33
66,,M001169,Yes,33
67,,M001111,Yes,33
68,,N000032,Yes,33
69,,P000603,Yes,33
70,,P000612,Yes,33
71,,P000595,Yes,33
72,,P000449,Yes,33
73,,R000122,Yes,33
74,,R000584,Yes,33
75,,R000307,Yes,33
76,,R000605,Yes,33
77,,R000595,Yes,33
78,,S000033,No,33
79,,S001197,Yes,33
80,,S001194,Yes,33
81,,S000148,Yes,33
82,,S001184,Yes,33
83,,S001141,Yes,33
84,,S001181,Yes,33
85,,S000320,Yes,33
86,,S000770,Yes,33
87,,S001198,Yes,33
88,,T000464,Yes,33
89,,T000250,Yes,33
90,,T000476,Yes,33
91,,T000461,Yes,33
92,,U000039,No,33
93,,V000128,Yes,33
94,,W000805,Yes,33
95,,W000817,Yes,33
96,,W000802,Yes,33
97,,W000437,Yes,33
98,,W000779,Yes,33
99,,Y000064,Yes,33
