dw_nominate,member_id,vote_position,roll_call
,A000360,Yes,103
,B001230,Yes,103
,B001261,Yes,103
,B001267,Yes,103
,B001277,No,103
,B000575,Yes,103
,B001288,No,103
,B001236,Yes,103
,B000944,Yes,103
,B001135,Yes,103
,C000127,Yes,103
,C001047,Yes,103
,C000141,Yes,103
,C000174,Yes,103
,C001070,Yes,103
,C001075,Yes,103
,C000567,Yes,103
,C001035,Yes,103
,C001088,Yes,103
,C001071,Yes,103
,C001056,Yes,103
,C001113,No,103
,C001095,Yes,103
,C000880,Yes,103
,C001098,Yes,103
,D000618,Yes,103
,D000607,Yes,103
,D000622,No,103
,D000563,Yes,103
,E000285,Yes,103
,E000295,Yes,103
,F000062,Yes,103
,F000463,Yes,103
,F000444,Yes,103
,F000457,Yes,103
,G000562,Yes,103
,G000555,No,103
,G000359,Yes,103
,G000386,Yes,103
,H001075,No,103
,H001076,Yes,103
,H000338,Yes,103
,H001046,No,103
,H001069,Yes,103
,H001041,Yes,103
,H001042,Yes,103
,H001061,Yes,103
,I000024,Yes,103
,I000055,Not Voting,103
,J000293,Yes,103
,K000384,Yes,103
,K000393,Yes,103
,K000383,Yes,103
,K000367,Yes,103
,L000575,Yes,103
,L000174,Yes,103
,L000577,Yes,103
,M001183,Yes,103
,M000133,No,103
,M000303,Yes,103
,M001170,Yes,103
,M000355,Yes,103
,M000639,No,103
,M001176,No,103
,M000934,Yes,103
,M001153,Yes,103
,M001169,No,103
,M001111,Yes,103
,N000032,Yes,103
,P000603,Yes,103
,P000612,Yes,103
,P000595,Yes,103
,P000449,Yes,103
,R000122,Yes,103
,R000584,Yes,103
,R000307,Yes,103
,R000605,Yes,103
,R000595,Yes,103
,S000033,No,103
,S001197,Yes,103
,S001194,Yes,103
,S000148,Yes,103
,S001184,Yes,103
,S001181,Yes,103
,S000320,Yes,103
,S000770,Yes,103
,S001202,Yes,103
,S001198,Yes,103
,T000464,Yes,103
,T000250,Yes,103
,T000476,Yes,103
,T000461,Yes,103
,U000039,No,103
,V000128,Yes,103
,W000805,Yes,103
,W000817,No,103
,W000802,Yes,103
,W000437,Yes,103
,W000779,Yes,103
,Y000064,Yes,103
