dw_nominate,member_id,vote_position,roll_call
,A000360,Yes,114
,B001230,Yes,114
,B001261,Yes,114
,B001267,Yes,114
,B001277,No,114
,B000575,Yes,114
,B001288,No,114
,B001236,Yes,114
,B000944,Yes,114
,B001135,Yes,114
,C000127,Yes,114
,C001047,Yes,114
,C000141,Yes,114
,C000174,Yes,114
,C001070,Yes,114
,C001075,Yes,114
,C000567,Yes,114
,C001035,Yes,114
,C001088,Yes,114
,C001071,Yes,114
,C001056,Yes,114
,C001113,No,114
,C001095,Yes,114
,C000880,Yes,114
,C001098,Yes,114
,D000618,Yes,114
,D000607,Yes,114
,D000622,Yes,114
,D000563,Yes,114
,E000285,Yes,114
,E000295,Yes,114
,F000062,Yes,114
,F000463,Yes,114
,F000444,Yes,114
,F000457,Yes,114
,G000562,Yes,114
,G000555,No,114
,G000359,Yes,114
,G000386,Yes,114
,H001075,No,114
,H001076,Yes,114
,H000338,Yes,114
,H001046,Yes,114
,H001069,Yes,114
,H001041,Yes,114
,H001042,Yes,114
,H001061,Yes,114
,I000024,Yes,114
,I000055,Yes,114
,J000293,Yes,114
,K000384,Yes,114
,K000393,Yes,114
,K000383,Yes,114
,K000367,Yes,114
,L000575,Yes,114
,L000174,Yes,114
,L000577,Yes,114
,M001183,Yes,114
,M000133,Yes,114
,M000303,Yes,114
,M001170,Yes,114
,M000355,Yes,114
,M000639,Yes,114
,M001176,Yes,114
,M000934,Yes,114
,M001153,Yes,114
,M001169,Yes,114
,M001111,Yes,114
,N000032,Yes,114
,P000603,Yes,114
,P000612,Yes,114
,P000595,Yes,114
,P000449,Yes,114
,R000122,Yes,114
,R000584,Yes,114
,R000307,Yes,114
,R000605,Yes,114
,R000595,Yes,114
,S000033,Yes,114
,S001197,Yes,114
,S001194,Yes,114
,S000148,Yes,114
,S001184,Yes,114
,S001181,Yes,114
,S000320,Yes,114
,S000770,Yes,114
,S001202,Yes,114
,S001198,Yes,114
,T000464,Yes,114
,T000250,Yes,114
,T000476,Yes,114
,T000461,Yes,114
,U000039,Yes,114
,V000128,Yes,114
,W000805,Yes,114
,W000817,No,114
,W000802,Yes,114
,W000437,Yes,114
,W000779,Yes,114
,Y000064,Yes,114
