dw_nominate,member_id,vote_position,roll_call
,A000360,Yes,112
,B001230,Yes,112
,B001261,Yes,112
,B001267,Yes,112
,B001277,No,112
,B000575,Yes,112
,B001288,No,112
,B001236,Yes,112
,B000944,Yes,112
,B001135,Yes,112
,C000127,Yes,112
,C001047,Yes,112
,C000141,Yes,112
,C000174,Yes,112
,C001070,Yes,112
,C001075,Yes,112
,C000567,Yes,112
,C001035,Yes,112
,C001088,Yes,112
,C001071,Yes,112
,C001056,Yes,112
,C001113,Yes,112
,C001095,Yes,112
,C000880,Yes,112
,C001098,Yes,112
,D000618,Yes,112
,D000607,Yes,112
,D000622,Yes,112
,D000563,Yes,112
,E000285,Yes,112
,E000295,Yes,112
,F000062,Yes,112
,F000463,Yes,112
,F000444,Not Voting,112
,F000457,Yes,112
,G000562,Yes,112
,G000555,No,112
,G000359,Yes,112
,G000386,Yes,112
,H001075,No,112
,H001076,Yes,112
,H000338,Yes,112
,H001046,Yes,112
,H001069,Yes,112
,H001041,Yes,112
,H001042,Yes,112
,H001061,Yes,112
,I000024,Yes,112
,I000055,Yes,112
,J000293,Yes,112
,K000384,Yes,112
,K000393,Yes,112
,K000383,Yes,112
,K000367,Yes,112
,L000575,Yes,112
,L000174,Yes,112
,L000577,Yes,112
,M001183,Yes,112
,M000133,No,112
,M000303,Yes,112
,M001170,Yes,112
,M000355,Yes,112
,M000639,No,112
,M001176,Yes,112
,M000934,Yes,112
,M001153,Yes,112
,M001169,Yes,112
,M001111,Yes,112
,N000032,Yes,112
,P000603,Yes,112
,P000612,Present,112
,P000595,Yes,112
,P000449,Yes,112
,R000122,No,112
,R000584,Yes,112
,R000307,Yes,112
,R000605,Yes,112
,R000595,Yes,112
,S000033,No,112
,S001197,Yes,112
,S001194,Yes,112
,S000148,Yes,112
,S001184,Yes,112
,S001181,Yes,112
,S000320,Yes,112
,S000770,Yes,112
,S001202,Yes,112
,S001198,Yes,112
,T000464,Yes,112
,T000250,Yes,112
,T000476,Yes,112
,T000461,Yes,112
,U000039,Yes,112
,V000128,Yes,112
,W000805,Yes,112
,W000817,No,112
,W000802,No,112
,W000437,Yes,112
,W000779,No,112
,Y000064,Yes,112
